"order","date","customer","item","amount","quantity","price"
"11110000743","2020/01/06","11ELECOM615","58670",82.5,1,82.5
"11110000743","2020/01/06","11ELECOM615","520",0,1,0
"11110000744","2020/01/06","11ELECOM616","810",7.5,1,7.5
"11110000744","2020/01/06","11ELECOM616","598",0,1,0
"11110000748","2020/01/06","11ELECOM617","173",32.92,1,32.92
"11110000748","2020/01/06","11ELECOM617","478",0,1,0
"11110000749","2020/01/06","11ELECOM618","219",47.5,1,47.5
"11110000749","2020/01/06","11ELECOM618","220",25,1,25
"11110000749","2020/01/06","11ELECOM618","214",18.75,1,18.75
"11110000749","2020/01/06","11ELECOM618","212",18.75,1,18.75
"11110000749","2020/01/06","11ELECOM618","211",24.58,1,24.58
"11110000749","2020/01/06","11ELECOM618","50210",16.67,1,16.67
"11110000749","2020/01/06","11ELECOM618","532",0,1,0
"11110000750","2020/01/06","11ELECOM471","810",0,1,0
"11110000751","2020/01/06","11ELECOM619","841",0,1,0
"11110000751","2020/01/06","11ELECOM619","532",0,1,0
"11110000754","2020/01/06","11ELECOM621","48942",56.32,1,56.32
"11110000754","2020/01/06","11ELECOM621","225",18.75,1,18.75
"11110000754","2020/01/06","11ELECOM621","170",24.58,1,24.58
"11110000754","2020/01/06","11ELECOM621","40410",16.67,1,16.67
"11110000754","2020/01/06","11ELECOM621","149",20.83,1,20.83
"11110000754","2020/01/06","11ELECOM621","50499",0,1,0
"11110000755","2020/01/06","11ELECOM276","832",0,1,0
"11110000756","2020/01/06","11ELECOM622","194",66.67,1,66.67
"11110000756","2020/01/06","11ELECOM622","805",0,1,0
"11110000757","2020/01/06","11ELECOM623","58776",75,2,37.5
"11110000760","2020/01/06","11ELECOM624","271",112.5,1,112.5
"11110000760","2020/01/06","11ELECOM624","805",0,1,0
"11110000761","2020/01/06","11ELECOM625","274",79.17,1,79.17
"11110000761","2020/01/06","11ELECOM625","48942",56.32,1,56.32
"11110000761","2020/01/06","11ELECOM625","273",52.5,1,52.5
"11110000761","2020/01/06","11ELECOM625","807",0,1,0
"11110000763","2020/01/06","11ELECOM626","184",35,1,35
"11110000763","2020/01/06","11ELECOM626","532",0,1,0
"11110000766","2020/01/06","11ELECOM628","40401",14.58,1,14.58
"11110000766","2020/01/06","11ELECOM628","50443",0,1,0
"11110000768","2020/01/06","11ELECOM629","486",5.83,1,5.83
"11110000768","2020/01/06","11ELECOM629","485",5.83,1,5.83
"11110000768","2020/01/06","11ELECOM629","832",14.58,1,14.58
"11110000768","2020/01/06","11ELECOM629","805",0,1,0
"11110000770","2020/01/06","11ELECOM630","183",31.67,1,31.67
"11110000770","2020/01/06","11ELECOM630","520",0,1,0
"11110000771","2020/01/06","11ELECOM631","170",24.58,1,24.58
"11110000771","2020/01/06","11ELECOM631","225",18.75,1,18.75
"11110000771","2020/01/06","11ELECOM631","532",0,1,0
"11110000771","2020/01/06","11ELECOM631","174",29.17,1,29.17
"11110000776","2020/01/06","11ELECOM633","302",18.75,1,18.75
"11110000776","2020/01/06","11ELECOM633","183",31.67,1,31.67
"11110000776","2020/01/06","11ELECOM633","478",0,1,0
"11110000777","2020/01/06","11ELECOM634","262",25,1,25
"11110000777","2020/01/06","11ELECOM634","488",5.83,1,5.83
"11110000777","2020/01/06","11ELECOM634","804",4.33,1,4.33
"11110000777","2020/01/06","11ELECOM634","598",0,1,0
"11110000778","2020/01/06","11ELECOM635","401",19.17,1,19.17
"11110000778","2020/01/06","11ELECOM635","50499",0,1,0
"11110000779","2020/01/06","11ELECOM636","50451",35,2,17.5
"11110000779","2020/01/06","11ELECOM636","807",0,1,0
"11110000782","2020/02/06","11ELECOM640","58765",33.25,1,33.25
"11110000782","2020/02/06","11ELECOM640","598",0,1,0
"11110000783","2020/02/06","11ELECOM641","58776",37.5,1,37.5
"11110000783","2020/02/06","11ELECOM641","58867",41.67,1,41.67
"11110000783","2020/02/06","11ELECOM641","598",0,1,0
"11110000785","2020/02/06","11ELECOM642","50334",35,1,35
"11110000786","2020/02/06","11ELECOM643","58776",37.5,1,37.5
"11110000786","2020/02/06","11ELECOM643","175",49.17,2,24.585
"11110000786","2020/02/06","11ELECOM643","50443",0,1,0
"11110000786","2020/02/06","11ELECOM643","478",0,1,0
"11110000787","2020/02/06","11ELECOM644","173",32.92,1,32.92
"11110000787","2020/02/06","11ELECOM644","807",0,1,0
"11110000787","2020/02/06","11ELECOM644","50443",0,1,0
"11110000789","2020/02/06","11ELECOM647","48054",31.67,1,31.67
"11110000789","2020/02/06","11ELECOM647","229",49.17,1,49.17
"11110000789","2020/02/06","11ELECOM647","478",0,1,0
"11110000789","2020/02/06","11ELECOM647","805",0,1,0
"11110000792","2020/02/06","11ELECOM648","401",19.17,1,19.17
"11110000792","2020/02/06","11ELECOM648","805",0,1,0
"11110000792","2020/02/06","11ELECOM648","532",0,1,0
"11110000796","2020/02/06","11ELECOM649","264",44.17,1,44.17
"11110000796","2020/02/06","11ELECOM649","50443",0,1,0
"11110000796","2020/02/06","11ELECOM649","805",0,1,0
"11110000800","2020/02/06","11ELECOM650","58280",8.33,1,8.33
"11110000800","2020/02/06","11ELECOM650","50539",12.5,1,12.5
"11110000800","2020/02/06","11ELECOM650","50500",5.83,1,5.83
"11110000800","2020/02/06","11ELECOM650","50443",0,1,0
"11110000800","2020/02/06","11ELECOM650","805",0,1,0
"11110000801","2020/02/06","11ELECOM651","58765",33.25,1,33.25
"11110000801","2020/02/06","11ELECOM651","810",0,1,0
"11110000801","2020/02/06","11ELECOM651","50443",0,1,0
"11110000805","2020/02/06","11ELECOM652","58772",82.5,1,82.5
"11110000805","2020/02/06","11ELECOM652","810",0,1,0
"11110000805","2020/02/06","11ELECOM652","805",0,1,0
"11110000806","2020/02/06","11ELECOM653","58765",33.25,1,33.25
"11110000806","2020/02/06","11ELECOM653","520",0,1,0
"11110000806","2020/02/06","11ELECOM653","532",0,1,0
"11110000807","2020/02/06","11ELECOM654","58772",82.5,1,82.5
"11110000807","2020/02/06","11ELECOM654","598",0,1,0
"11110000807","2020/02/06","11ELECOM654","532",0,1,0
"11110000808","2020/02/06","11ELECOM656","40401",14.58,1,14.58
"11110000808","2020/02/06","11ELECOM656","50443",0,1,0
"11110000808","2020/02/06","11ELECOM656","532",0,1,0
"11110000809","2020/02/06","11ELECOM658","58776",37.5,1,37.5
"11110000809","2020/02/06","11ELECOM658","50443",0,1,0
"11110000809","2020/02/06","11ELECOM658","805",0,1,0
"11110000810","2020/02/06","11ELECOM660","50764",28.33,1,28.33
"11110000810","2020/02/06","11ELECOM660","810",0,1,0
"11110000810","2020/02/06","11ELECOM660","598",0,1,0
"11110000811","2020/02/06","11ELECOM661","58762",66.67,1,66.67
"11110000811","2020/02/06","11ELECOM661","805",0,1,0
"11110000811","2020/02/06","11ELECOM661","807",0,1,0
"11110000815","2020/02/06","11ELECOM662","494",0,1,0
"11110000816","2020/02/06","11ELECOM663","226",18.75,1,18.75
"11110000816","2020/02/06","11ELECOM663","520",0,1,0
"11110000816","2020/02/06","11ELECOM663","470",0,1,0
"11110000817","2020/02/06","11ELECOM665","227",24.58,1,24.58
"11110000817","2020/02/06","11ELECOM665","50726",28.75,1,28.75
"11110000817","2020/02/06","11ELECOM665","520",0,1,0
"11110000817","2020/02/06","11ELECOM665","478",0,1,0
"11110000819","2020/02/06","11ELECOM517","58860",35,1,35
"11110000819","2020/02/06","11ELECOM517","598",0,1,0
"11110000819","2020/02/06","11ELECOM517","470",0,1,0
"11110000820","2020/02/06","11ELECOM666","530",5,1,5
"11110000820","2020/02/06","11ELECOM666","530",0,1,0
"11110000820","2020/02/06","11ELECOM666","598",0,1,0
"11110000821","2020/02/06","11ELECOM667","267",66.67,1,66.67
"11110000821","2020/02/06","11ELECOM667","520",0,1,0
"11110000821","2020/02/06","11ELECOM667","598",0,1,0
"11110000822","2020/02/06","11ELECOM668","50204",20.83,1,20.83
"11110000822","2020/02/06","11ELECOM668","530",0,1,0
"11110000822","2020/02/06","11ELECOM668","478",0,1,0
"11110000824","2020/02/06","11ELECOM670","173",32.92,1,32.92
"11110000824","2020/02/06","11ELECOM670","810",0,1,0
"11110000824","2020/02/06","11ELECOM670","478",0,1,0
"11110000825","2020/02/06","11ELECOM671","173",32.92,1,32.92
"11110000825","2020/02/06","11ELECOM671","598",0,1,0
"11110000825","2020/02/06","11ELECOM671","810",0,1,0
"11110000826","2020/02/06","11ELECOM671","178",24.17,1,24.17
"11110000826","2020/02/06","11ELECOM671","807",0,1,0
"11110000826","2020/02/06","11ELECOM671","598",0,1,0
"11110000827","2020/02/06","11ELECOM672","225",18.75,1,18.75
"11110000827","2020/02/06","11ELECOM672","598",0,1,0
"11110000827","2020/02/06","11ELECOM672","470",0,1,0
"11110000830","2020/03/06","11ELECOM674","290",43.75,1,43.75
"11110000830","2020/03/06","11ELECOM674","184",35,1,35
"11110000830","2020/03/06","11ELECOM674","183",31.67,1,31.67
"11110000830","2020/03/06","11ELECOM674","598",0,1,0
"11110000830","2020/03/06","11ELECOM674","805",0,1,0
"11110000830","2020/03/06","11ELECOM674","40200",15.83,1,15.83
"11110000831","2020/03/06","11ELECOM675","50764",28.33,1,28.33
"11110000831","2020/03/06","11ELECOM675","805",0,1,0
"11110000831","2020/03/06","11ELECOM675","598",0,1,0
"11110000832","2020/03/06","11ELECOM677","170",24.58,1,24.58
"11110000832","2020/03/06","11ELECOM677","805",0,1,0
"11110000832","2020/03/06","11ELECOM677","598",0,1,0
"11110000833","2020/03/06","11ELECOM530","488",5.83,1,5.83
"11110000833","2020/03/06","11ELECOM530","487",5.83,1,5.83
"11110000833","2020/03/06","11ELECOM530","470",0,1,0
"11110000833","2020/03/06","11ELECOM530","50443",0,1,0
"11110000834","2020/03/06","11ELECOM678","50333",60,2,30
"11110000834","2020/03/06","11ELECOM678","50873",92.5,1,92.5
"11110000834","2020/03/06","11ELECOM678","50869",70,4,17.5
"11110000834","2020/03/06","11ELECOM678","40200",95,6,15.83333333
"11110000834","2020/03/06","11ELECOM678","532",0,1,0
"11110000834","2020/03/06","11ELECOM678","598",0,1,0
"11110000835","2020/03/06","11ELECOM679","58776",37.5,1,37.5
"11110000835","2020/03/06","11ELECOM679","58765",33.25,1,33.25
"11110000835","2020/03/06","11ELECOM679","805",0,1,0
"11110000835","2020/03/06","11ELECOM679","807",0,1,0
"11110000836","2020/03/06","11ELECOM680","58765",33.25,1,33.25
"11110000836","2020/03/06","11ELECOM680","58372",24.17,1,24.17
"11110000836","2020/03/06","11ELECOM680","58669",20.83,1,20.83
"11110000836","2020/03/06","11ELECOM680","805",0,1,0
"11110000836","2020/03/06","11ELECOM680","810",0,1,0
"11110000837","2020/03/06","11ELECOM681","713",49.17,2,24.585
