"";"FreqNdx";"order";"order_Freq";"date";"date_Freq";"customer";"customer_Freq";"item";"item_Freq";"amount";"amount_Freq";"quantity";"quantity_Freq";"price";"price_Freq"
"1";1;"11110084188";33;"2020/01/01";446;"11ELECOM1035";100;"107";108;"0";28777;"1";61046;"0";28777
"2";2;"11110001950";16;"2020/01/02";744;"11ELECOM1259";61;"110";117;"0.42";1;"2";1475;"0.21";1
"3";3;"11110005707";16;"2020/01/03";925;"11ELECOM356";50;"149";60;"3.25";192;"3";209;"3.25";229
"4";4;"11110076314";16;"2020/01/04";200;"11ELECOM439";48;"154";121;"3.33";1;"4";78;"3.33";1
"5";5;"11110010271";14;"2020/01/05";233;"11ELECOM482";46;"155";91;"3.42";13;"5";24;"3.42";13
"6";6;"11110063699";14;"2020/01/06";252;"11ELECOM1861";41;"159";49;"3.5";15;"6";16;"3.5";16
"7";7;"11110010675";12;"2020/01/07";470;"11ELECOM15504";40;"164";111;"3.58";4;"7";2;"3.58";4
"8";8;"11110028974";12;"2020/01/08";1060;"11ELECOM18967";35;"166";193;"3.75";20;"8";9;"3.583333333";1
"9";9;"11110029589";12;"2020/01/09";280;"11ELECOM2906";34;"167";217;"4.17";2;"9";2;"3.585";1
"10";10;"11110029678";12;"2020/01/10";528;"11ELECOM207";33;"169";212;"4.33";35;"10";17;"3.625";1
"11";11;"11110029805";12;"2020/01/11";935;"11ELECOM3784";33;"170";347;"4.5";1;"11";1;"3.75";21
"12";12;"11110029819";12;"2020/01/12";502;"11ELECOM44964";33;"172";12;"4.58";91;"20";2;"3.85";1
"13";13;"11110030130";12;"2020/02/01";396;"11ELECOM15875";32;"173";723;"5";32;;;"4.17";2
"14";14;"11110062987";12;"2020/02/02";540;"11ELECOM771";32;"174";319;"5.17";7;;;"4.33";35
"15";15;"11110063348";12;"2020/02/03";1117;"11ELECOM14465";31;"175";14;"5.42";14;;;"4.5";1
"16";16;"11110075520";12;"2020/02/04";174;"11ELECOM14553";31;"176";106;"5.67";4;;;"4.58";91
"17";17;"11110091375";12;"2020/02/05";255;"11ELECOM16766";31;"178";16;"5.75";38;;;"4.583333333";1
"18";18;"11110095433";12;"2020/02/06";291;"11ELECOM1311";29;"179";255;"5.83";577;;;"4.585";3
"19";19;"11110095676";12;"2020/02/07";263;"11ELECOM3724";29;"182";339;"6";133;;;"5";41
"20";20;"11110005375";11;"2020/02/08";395;"11ELECOM1093";28;"183";231;"6.08";3;;;"5.17";7
"21";21;"11110024956";11;"2020/02/09";270;"11ELECOM21429";28;"184";345;"6.25";17;;;"5.42";14
"22";22;"11110029242";11;"2020/02/10";431;"11ELECOM3010";28;"185";80;"6.42";14;;;"5.67";4
"23";23;"11110029284";11;"2020/02/11";824;"11ELECOM21459";27;"186";63;"6.5";19;;;"5.75";42
"24";24;"11110029638";11;"2020/02/12";555;"11ELECOM241";27;"189";510;"7";12;;;"5.83";577
"25";25;"11110029652";11;"2020/03/01";491;"11ELECOM3645";27;"194";253;"7.08";63;;;"5.8325";1
"26";26;"11110029949";11;"2020/03/02";486;"11ELECOM5350";27;"197";150;"7.17";1;;;"5.833";2
"27";27;"11110030065";11;"2020/03/03";850;"11ELECOM5665";27;"20old";1;"7.25";73;;;"5.833333333";7
"28";28;"11110030243";11;"2020/03/04";182;"11ELECOM8977";27;"210";1;"7.5";150;;;"5.834";2
"29";29;"11110038079";11;"2020/03/05";220;"11ELECOM11677";26;"211";106;"7.58";2;;;"5.835";35
"30";30;"11110047391";11;"2020/03/06";250;"11ELECOM27124";26;"212";41;"7.67";10;;;"6";147
"31";31;"11110048378";11;"2020/03/07";413;"11ELECOM19768";25;"213";139;"7.83";10;;;"6.08";3
"32";32;"11110048679";11;"2020/03/08";326;"11ELECOM20626";25;"214";66;"8.33";225;;;"6.25";18
"33";33;"11110053094";11;"2020/03/09";298;"11ELECOM24137";25;"217";78;"9";1;;;"6.415";2
"34";34;"11110053639";11;"2020/03/10";457;"11ELECOM2910";25;"218";91;"9.17";49;;;"6.416666667";2
"35";35;"11110076835";11;"2020/03/11";722;"11ELECOM2955";25;"219";4;"9.25";9;;;"6.42";14
"36";36;"11110090113";11;"2020/03/12";623;"11ELECOM3937";25;"220";159;"9.5";27;;;"7";11
"37";37;"11110094522";11;"2020/04/01";523;"11ELECOM44655";25;"221";17;"9.58";14;;;"7.08";63
"38";38;"11110095511";11;"2020/04/02";454;"11ELECOM16663";24;"225";294;"9.75";4;;;"7.0825";1
"39";39;"11110005385";10;"2020/04/03";1187;"11ELECOM18715";24;"226";355;"9.83";1;;;"7.083";1
"40";40;"11110005486";10;"2020/04/04";199;"11ELECOM18909";24;"227";158;"10";246;;;"7.083333333";1
"41";41;"11110005737";10;"2020/04/05";212;"11ELECOM29418";24;"228";367;"10.08";25;;;"7.085";2
"42";42;"11110005800";10;"2020/04/06";207;"11ELECOM3043";24;"229";40;"10.42";2;;;"7.25";77
"43";43;"11110011746";10;"2020/04/07";379;"11ELECOM5172";24;"230";116;"10.5";21;;;"7.5";175
"44";44;"11110011765";10;"2020/04/08";312;"11ELECOM7455";24;"231";272;"10.67";4;;;"7.58";2
"45";45;"11110028953";10;"2020/04/09";363;"11ELECOM13030";23;"232";6;"10.75";1;;;"7.67";10
"46";46;"11110029394";10;"2020/04/10";627;"11ELECOM1895";23;"233";66;"10.83";14;;;"7.83";10
"47";47;"11110029629";10;"2020/04/11";612;"11ELECOM19748";23;"241";158;"11";4;;;"7.835";1
"48";48;"11110029726";10;"2020/04/12";742;"11ELECOM31572";23;"243";346;"11.08";15;;;"8.33";225
